ID	SENT	Label
27601	Amo il salmone più del pollo.	1
13543	Amo le foreste, e la natura in generale.	1
36607	A differenza dei centri commerciali, i laghi sono menzionati spesso in questo testo.	1
17377	Amo i cani, ed anche i pappagalli.	1
17925	Amo gli alberi, ed anche l'erba.	1
10857	Amo gli agricoltori, e in particolare i ministri.	0
16426	Amo le foreste, un tipo interessante di centro commerciale.	0
16867	Ho incontrato i camerieri, un tipo interessante di fisico.	0
15086	Amo gli abeti, un tipo interessante di animale.	0
16411	Amo le montagne, un tipo interessante di casa.	0